station,history_days,pred_len,model,MAE,RMSE,NMAE,NRMSE,R2
station03,2,16,Iterative,1.146605372428894,1.9945505526034855,0.07147922553398534,0.12434001463508836,0.8355060815811157
station03,2,96,MultiStep,1.1770824193954468,2.07586903126253,0.07337916056491699,0.12940939771659044,0.8204134106636047
station03,2,96,Iterative,1.0811922550201416,1.9481731660706034,0.0674013805451409,0.12144885456260555,0.8418281674385071
station03,3,1,MultiStep,0.4920330345630646,1.0859477090698735,0.030673273554616586,0.0676978349144565,0.9505117535591125
station03,3,1,Iterative,0.5333141684532166,1.0469268672107812,0.03324673391908545,0.06526528085284103,0.9540043473243713
station03,3,16,MultiStep,1.2672817707061768,2.155975434886998,0.07900217605951661,0.13440322020257822,0.8049384355545044
station03,3,16,Iterative,1.1798948049545288,1.9670243950840347,0.07355448430445286,0.12262403765754386,0.8376308679580688
station03,3,96,MultiStep,1.2147477865219116,2.0802252918889934,0.07572721451302449,0.12968096642130023,0.8196588754653931
station03,3,96,Iterative,1.1429060697555542,1.9936086335483565,0.07124861150019096,0.12428129552719364,0.8343643546104431
station03,5,1,MultiStep,0.48220372200012207,1.046951803550003,0.03006051552432559,0.06526683538089233,0.9530354738235474
station03,5,1,Iterative,0.5039893984794617,1.057555868778751,0.03141863168174288,0.06592789138872975,0.9520792961120605
station03,5,16,MultiStep,1.1759709119796753,2.064807872193504,0.07330986934130591,0.12871984653989627,0.8166036605834961
station03,5,16,Iterative,1.1471740007400513,2.0094876555903425,0.07151467374683657,0.1252711916371289,0.8262991309165955
station03,5,96,MultiStep,1.1172410249710083,1.985217658920501,0.0696486560415764,0.1237582032913672,0.8357557058334351
station03,5,96,Iterative,1.0944678783416748,1.9924559767585026,0.06822898112710395,0.12420943905710688,0.8345558643341064
station03,7,1,MultiStep,0.5204141139984131,1.0579938138698013,0.032442546250033885,0.0659551928271212,0.9523298144340515
station03,7,1,Iterative,0.4904327690601349,1.047000592797229,0.03057351321723402,0.06526987689603779,0.9533153176307678
station03,7,16,MultiStep,1.113602638244629,1.9753128745536286,0.06942183949976671,0.1231407403589152,0.8335199356079102
station03,7,16,Iterative,1.2322524785995483,2.0822208740454378,0.07681845467551375,0.12980537074598075,0.815011739730835
station03,7,96,MultiStep,1.2961136102676392,2.1073222026287626,0.08079954908089695,0.1313701842120204,0.8105248212814331
station03,7,96,Iterative,1.1183037757873535,2.041576604089347,0.06971490778530148,0.12727161239396695,0.8221631050109863
station04,1,1,MultiStep,0.7628990411758423,1.696084404932368,0.02957706713055824,0.06575601697763163,0.950127363204956
station04,1,1,Iterative,0.7078971862792969,1.6297064629216809,0.02744468333299441,0.0631825901663822,0.9539545774459839
station04,1,16,MultiStep,1.6548959016799927,2.9710133808750134,0.06415916725053658,0.1151841298377944,0.8468179106712341
station04,1,16,Iterative,1.7763512134552002,3.2354427915469386,0.06886790551844875,0.1254358748376086,0.818337082862854
